sample_idx,ns
0,701
1,380
2,271
3,250
4,251
5,250
6,250
7,241
8,270
9,270
10,250
11,250
12,241
13,251
14,250
15,251
16,250
17,261
18,260
19,241
20,250
21,241
22,240
23,240
24,241
25,240
26,251
27,250
28,271
29,250
30,251
31,250
32,251
33,260
34,251
35,251
36,250
37,251
38,290
39,251
40,271
41,280
42,251
43,250
44,250
45,251
46,300
47,261
48,240
49,241
50,240
51,241
52,250
53,241
54,240
55,241
56,240
57,240
58,251
59,250
60,241
61,240
62,240
63,241
64,250
65,250
66,241
67,241
68,250
69,251
70,250
71,251
72,241
73,240
74,241
75,250
76,260
77,260
78,260
79,251
80,240
81,251
82,240
83,251
84,251
85,250
86,251
87,250
88,251
89,251
90,250
91,241
92,260
93,260
94,250
95,251
96,250
97,241
98,250
99,240
100,241
101,251
102,240
103,250
104,251
105,250
106,241
107,240
108,260
109,260
110,251
111,250
112,251
113,250
114,251
115,250
116,250
117,251
118,250
119,251
120,240
121,241
122,240
123,251
124,250
125,250
126,241
127,250
128,261
129,251
130,250
131,240
132,251
133,250
134,251
135,240
136,251
137,250
138,241
139,240
140,250
141,251
142,250
143,251
144,250
145,251
146,240
147,241
148,261
149,271
150,240
151,241
152,241
153,240
154,241
155,240
156,241
157,250
158,251
159,240
160,251
161,250
162,251
163,250
164,240
165,251
166,250
167,251
168,240
169,251
170,240
171,241
172,261
173,260
174,251
175,250
176,251
177,250
178,251
179,250
180,251
181,250
182,251
183,240
184,240
185,261
186,240
187,251
188,240
189,251
190,250
191,251
192,250
193,251
194,240
195,250
196,251
197,250
198,251
199,250
200,260
201,261
202,250
203,251
204,240
205,240
206,241
207,240
208,251
209,240
210,241
211,240
212,241
213,250
214,250
215,251
216,250
217,251
218,240
219,251
220,601
221,351
222,461
223,241
224,250
225,251
226,240
227,241
228,251
229,250
230,251
231,250
232,260
233,251
234,250
235,250
236,241
237,240
238,251
239,250
240,241
241,240
242,251
243,250
244,251
245,250
246,240
247,251
248,250
249,241
250,250
251,251
252,240
253,241
254,240
255,251
256,250
257,241
258,250
259,251
260,250
261,240
262,241
263,240
264,241
265,240
266,241
267,240
268,271
269,261
270,240
271,251
272,240
273,241
274,240
275,240
276,241
277,250
278,241
279,230
280,241
281,240
282,241
283,240
284,241
285,240
286,241
287,240
288,231
289,240
290,240
291,250
292,240
293,251
294,230
295,241
296,240
297,241
298,250
299,271
300,441
301,261
302,240
303,241
304,240
305,240
306,241
307,240
308,250
309,251
310,260
311,251
312,240
313,241
314,240
315,240
316,241
317,240
318,241
319,240
320,241
321,240
322,241
323,240
324,241
325,230
326,240
327,241
328,240
329,241
330,240
331,241
332,230
333,241
334,240
335,240
336,251
337,240
338,241
339,230
340,241
341,240
342,241
343,240
344,251
345,240
346,241
347,240
348,240
349,231
350,240
351,231
352,250
353,241
354,240
355,241
356,240
357,241
358,240
359,241
360,240
361,241
362,240
363,240
364,231
365,240
366,241
367,240
368,241
369,240
370,241
371,240
372,241
373,240
374,241
375,240
376,240
377,241
378,230
379,241
380,240
381,241
382,240
383,241
384,240
385,241
386,240
387,230
388,241
389,240
390,231
391,240
392,241
393,240
394,241
395,230
396,230
397,241
398,240
399,241
400,250
401,260
402,250
403,241
404,250
405,241
406,240
407,231
408,240
409,241
410,240
411,231
412,240
413,241
414,240
415,240
416,241
417,250
418,251
419,240
420,241
421,240
422,241
423,230
424,231
425,240
426,240
427,241
428,250
429,241
430,240
431,241
432,240
433,251
434,240
435,231
436,240
437,241
438,240
439,230
440,241
441,240
442,231
443,240
444,231
445,240
446,241
447,240
448,251
449,240
450,241
451,240
452,250
453,241
454,240
455,241
456,250
457,240
458,240
459,231
460,240
461,241
462,240
463,241
464,240
465,241
466,230
467,241
468,231
469,240
470,241
471,230
472,241
473,230
474,241
475,240
476,231
477,240
478,240
479,241
480,230
481,241
482,230
483,241
484,240
485,241
486,240
487,240
488,241
489,240
490,241
491,240
492,241
493,240
494,231
495,240
496,241
497,240
498,240
499,241
500,240
501,241
502,240
503,241
504,230
505,241
506,240
507,241
508,240
509,241
510,240
511,240
512,241
513,230
514,241
515,240
516,241
517,240
518,241
519,240
520,260
521,250
522,250
523,241
524,240
525,241
526,240
527,251
528,240
529,241
530,240
531,251
532,240
533,241
534,250
535,241
536,240
537,241
538,240
539,251
540,240
541,240
542,241
543,240
544,241
545,240
546,241
547,240
548,241
549,240
550,241
551,250
552,281
553,350
554,310
555,280
556,261
557,250
558,230
559,241
560,240
561,251
562,240
563,241
564,250
565,241
566,240
567,240
568,241
569,240
570,241
571,230
572,241
573,230
574,241
575,240
576,240
577,231
578,240
579,241
580,240
581,231
582,240
583,251
584,241
585,250
586,241
587,240
588,241
589,250
590,241
591,240
592,260
593,270
594,240
595,240
596,250
597,241
598,240
599,241
600,240
601,241
602,230
603,241
604,240
605,241
606,240
607,240
608,231
609,240
610,251
611,250
612,251
613,240
614,251
615,240
616,241
617,250
618,240
619,251
620,250
621,241
622,250
623,241
624,240
625,241
626,240
627,240
628,241
629,240
630,241
631,240
632,241
633,240
634,241
635,250
636,241
637,240
638,240
639,241
640,240
641,251
642,240
643,231
644,240
645,241
646,240
647,241
648,250
649,240
650,241
651,250
652,251
653,240
654,241
655,240
656,241
657,240
658,241
659,240
660,240
661,241
662,250
663,241
664,240
665,241
666,240
667,241
668,250
669,251
670,240
671,240
672,250
673,261
674,240
675,241
676,250
677,250
678,241
679,240
680,241
681,230
682,241
683,240
684,241
685,240
686,241
687,230
688,240
689,241
690,240
691,241
692,240
693,231
694,240
695,241
696,240
697,240
698,241
699,240
700,241
701,240
702,241
703,250
704,241
705,240
706,240
707,251
708,240
709,241
710,250
711,241
712,240
713,241
714,250
715,241
716,240
717,241
718,250
719,240
720,240
721,240
722,241
723,240
724,241
725,250
726,251
727,240
728,241
729,250
730,241
731,240
732,240
733,241
734,240
735,251
736,240
737,241
738,240
739,241
740,240
741,241
742,250
743,240
744,241
745,240
746,241
747,250
748,241
749,240
750,241
751,250
752,241
753,240
754,241
755,240
756,240
757,241
758,250
759,241
760,250
761,250
762,240
763,251
764,240
765,241
766,240
767,241
768,240
769,241
770,240
771,241
772,250
773,240
774,241
775,240
776,241
777,240
778,251
779,240
780,241
781,240
782,251
783,240
784,240
785,240
786,240
787,241
788,240
789,241
790,240
791,241
792,240
793,241
794,240
795,240
796,241
797,240
798,231
799,230
800,241
801,240
802,231
803,240
804,250
805,240
806,240
807,271
808,281
809,250
810,261
811,240
812,241
813,250
814,240
815,251
816,240
817,251
818,240
819,251
820,240
821,241
822,240
823,251
824,240
825,241
826,240
827,241
828,240
829,230
830,251
831,240
832,241
833,230
834,241
835,240
836,241
837,240
838,240
839,241
840,240
841,251
842,240
843,241
844,240
845,241
846,240
847,251
848,240
849,240
850,241
851,240
852,251
853,240
854,251
855,250
856,251
857,240
858,241
859,240
860,251
861,250
862,241
863,240
864,241
865,240
866,231
867,240
868,240
869,251
870,240
871,241
872,240
873,241
874,240
875,241
876,240
877,231
878,240
879,240
880,241
881,240
882,251
883,240
884,241
885,250
886,241
887,240
888,251
889,240
890,240
891,241
892,240
893,241
894,240
895,241
896,240
897,241
898,240
899,241
900,240
901,240
902,231
903,240
904,241
905,230
906,241
907,240
908,231
909,240
910,241
911,240
912,230
913,241
914,240
915,241
916,240
917,251
918,240
919,251
920,250
921,421
922,280
923,270
924,271
925,250
926,261
927,260
928,251
929,250
930,251
931,250
932,250
933,250
934,240
935,251
936,250
937,250
938,240
939,241
940,250
941,241
942,240
943,241
944,250
945,251
946,250
947,251
948,240
949,241
950,250
951,241
952,240
953,251
954,240
955,241
956,240
957,251
958,240
959,231
960,280
961,251
962,240
963,241
964,250
965,241
966,240
967,241
968,290
969,281
970,250
971,251
972,240
973,250
974,250
975,241
976,240
977,241
978,240
979,241
980,240
981,231
982,240
983,241
984,240
985,251
986,240
987,241
988,240
989,230
990,241
991,240
992,241
993,240
994,241
995,240
996,241
997,260
998,241
999,240
1000,251
1001,251
1002,240
1003,251
1004,250
1005,241
1006,250
1007,251
1008,250
1009,251
1010,250
1011,251
1012,250
1013,250
1014,251
1015,250
1016,251
1017,250
1018,251
1019,250
1020,241
1021,250
1022,251
1023,240
1024,241
1025,240
1026,241
1027,240
1028,241
1029,261
1030,240
1031,251
1032,240
1033,241
1034,240
1035,251
1036,250
1037,251
1038,250
1039,241
1040,240
1041,241
1042,240
1043,241
1044,240
1045,241
1046,250
1047,241
1048,240
1049,261
1050,240
1051,251
1052,240
1053,241
1054,250
1055,251
1056,250
1057,251
1058,250
1059,251
1060,250
1061,251
1062,240
1063,241
1064,240
1065,240
1066,240
1067,250
1068,240
1069,260
1070,240
1071,241
1072,240
1073,251
1074,250
1075,251
1076,240
1077,241
1078,250
1079,251
1080,250
1081,251
1082,240
1083,251
1084,240
1085,241
1086,240
1087,251
1088,250
1089,241
1090,250
1091,251
1092,240
1093,261
1094,250
1095,251
1096,240
1097,251
1098,250
1099,240
1100,250
1101,250
1102,241
1103,250
1104,241
1105,250
1106,251
1107,240
1108,251
1109,250
1110,251
1111,250
1112,251
1113,240
1114,251
1115,250
1116,251
1117,250
1118,241
1119,240
1120,251
1121,260
1122,241
1123,240
1124,241
1125,250
1126,251
1127,240
1128,251
1129,240
1130,251
1131,250
1132,241
1133,250
1134,240
1135,240
1136,240
1137,250
1138,250
1139,251
1140,250
1141,251
1142,240
1143,251
1144,250
1145,261
1146,260
1147,251
1148,250
1149,251
1150,250
1151,251
1152,250
1153,261
1154,260
1155,251
1156,250
1157,251
1158,250
1159,251
1160,240
1161,241
1162,240
1163,251
1164,240
1165,241
1166,240
1167,251
1168,240
1169,251
1170,240
1171,240
1172,250
1173,241
1174,240
1175,241
1176,240
1177,251
1178,240
1179,240
1180,240
1181,240
1182,250
1183,250
1184,250
1185,250
1186,241
1187,250
1188,240
1189,260
1190,251
1191,250
1192,241
1193,240
1194,251
1195,250
1196,241
1197,240
1198,251
1199,250
1200,241
1201,250
1202,251
1203,240
1204,241
1205,250
1206,241
1207,250
1208,251
1209,250
1210,241
1211,240
1212,251
1213,240
1214,251
1215,250
1216,251
1217,240
1218,251
1219,240
1220,251
1221,280
1222,310
1223,271
1224,271
1225,260
1226,251
1227,250
1228,251
1229,270
1230,261
1231,240
1232,251
1233,250
1234,241
1235,240
1236,241
1237,240
1238,240
1239,240
1240,250
1241,251
1242,240
1243,241
1244,240
1245,251
1246,240
1247,251
1248,250
1249,251
1250,240
1251,251
1252,240
1253,251
1254,240
1255,251
1256,250
1257,241
1258,240
1259,241
1260,250
1261,251
1262,240
1263,241
1264,240
1265,241
1266,240
1267,251
1268,240
1269,251
1270,240
1271,240
1272,250
1273,260
1274,251
1275,240
1276,251
1277,240
1278,251
1279,250
1280,241
1281,250
1282,251
1283,250
1284,241
1285,250
1286,251
1287,250
1288,241
1289,240
1290,241
1291,240
1292,241
1293,240
1294,241
1295,250
1296,251
1297,240
1298,251
1299,250
1300,251
1301,250
1302,241
1303,250
1304,241
1305,240
1306,251
1307,240
1308,250
1309,241
1310,240
1311,251
1312,250
1313,251
1314,240
1315,241
1316,240
1317,241
1318,240
1319,241
1320,250
1321,260
1322,241
1323,240
1324,251
1325,240
1326,251
1327,250
1328,251
1329,240
1330,241
1331,250
1332,251
1333,250
1334,241
1335,240
1336,251
1337,250
1338,241
1339,250
1340,251
1341,250
1342,261
1343,250
1344,251
1345,250
1346,241
1347,250
1348,241
1349,250
1350,241
1351,250
1352,241
1353,250
1354,251
1355,250
1356,241
1357,250
1358,241
1359,250
1360,251
1361,250
1362,251
1363,240
1364,251
1365,240
1366,251
1367,240
1368,251
1369,250
1370,241
1371,240
1372,251
1373,250
1374,241
1375,240
1376,251
1377,250
1378,251
1379,250
1380,251
1381,250
1382,241
1383,250
1384,241
1385,240
1386,241
1387,250
1388,241
1389,240
1390,281
1391,250
1392,240
1393,250
1394,250
1395,241
1396,240
1397,251
1398,240
1399,241
1400,240
1401,251
1402,250
1403,251
1404,250
1405,281
1406,250
1407,251
1408,250
1409,251
1410,250
1411,241
1412,250
1413,261
1414,240
1415,251
1416,240
1417,251
1418,250
1419,251
1420,250
1421,261
1422,250
1423,241
1424,250
1425,251
1426,240
1427,241
1428,250
1429,241
1430,240
1431,241
1432,250
1433,251
1434,250
1435,251
1436,240
1437,241
1438,240
1439,251
1440,260
1441,250
1442,251
1443,250
1444,241
1445,240
1446,241
1447,240
1448,241
1449,240
1450,241
1451,250
1452,251
1453,260
1454,241
1455,250
1456,241
1457,240
1458,241
1459,250
1460,241
1461,250
1462,241
1463,250
1464,241
1465,240
1466,251
1467,250
1468,251
1469,240
1470,241
1471,250
1472,241
1473,250
1474,281
1475,261
1476,260
1477,251
1478,250
1479,241
1480,240
1481,241
1482,240
1483,251
1484,250
1485,241
1486,240
1487,241
1488,240
1489,241
1490,240
1491,251
1492,240
1493,241
1494,250
1495,250
1496,240
1497,240
1498,240
1499,240
1500,250
1501,250
1502,240
1503,250
1504,240
1505,250
1506,251
1507,240
1508,251
1509,240
1510,231
1511,240
1512,241
1513,260
1514,241
1515,240
1516,271
1517,240
1518,251
1519,240
1520,251
1521,250
1522,251
1523,250
1524,241
1525,250
1526,251
1527,250
1528,251
1529,240
1530,241
1531,240
1532,241
1533,240
1534,241
1535,240
1536,241
1537,240
1538,241
1539,240
1540,241
1541,240
1542,241
1543,250
1544,241
1545,240
1546,241
1547,240
1548,241
1549,240
1550,251
1551,240
1552,241
1553,240
1554,241
1555,250
1556,241
1557,240
1558,251
1559,250
1560,241
1561,240
1562,251
1563,250
1564,251
1565,250
1566,241
1567,240
1568,241
1569,240
1570,241
1571,240
1572,251
1573,240
1574,251
1575,240
1576,251
1577,240
1578,251
1579,240
1580,251
1581,250
1582,251
1583,240
1584,241
1585,250
1586,251
1587,270
1588,261
1589,260
1590,271
1591,240
1592,251
1593,270
1594,251
1595,250
1596,241
1597,250
1598,251
1599,250
1600,251
1601,250
1602,251
1603,240
1604,250
1605,250
1606,250
1607,251
1608,250
1609,251
1610,240
1611,251
1612,250
1613,251
1614,250
1615,241
1616,250
1617,241
1618,250
1619,241
1620,250
1621,251
1622,250
1623,241
1624,250
1625,251
1626,250
1627,251
1628,250
1629,241
1630,250
1631,251
1632,250
1633,251
1634,250
1635,251
1636,240
1637,241
1638,250
1639,251
1640,240
1641,241
1642,250
1643,241
1644,240
1645,251
1646,250
1647,251
1648,240
1649,261
1650,250
1651,251
1652,250
1653,251
1654,240
1655,261
1656,250
1657,251
1658,250
1659,251
1660,250
1661,241
1662,250
1663,251
1664,260
1665,251
1666,250
1667,261
1668,250
1669,251
1670,250
1671,261
1672,250
1673,250
1674,261
1675,250
1676,251
1677,250
1678,251
1679,260
1680,251
1681,260
1682,251
1683,250
1684,251
1685,250
1686,251
1687,240
1688,241
1689,250
1690,251
1691,250
1692,241
1693,240
1694,251
1695,250
1696,251
1697,250
1698,260
1699,240
1700,250
1701,251
1702,250
1703,251
1704,250
1705,241
1706,240
1707,251
1708,250
1709,241
1710,250
1711,251
1712,250
1713,241
1714,240
1715,251
1716,250
1717,251
1718,250
1719,251
1720,250
1721,251
1722,250
1723,251
1724,250
1725,251
1726,250
1727,251
1728,280
1729,341
1730,261
1731,260
1732,261
1733,260
1734,251
1735,250
1736,251
1737,240
1738,251
1739,240
1740,251
1741,240
1742,241
1743,240
1744,251
1745,240
1746,241
1747,250
1748,320
1749,310
1750,261
1751,250
1752,240
1753,240
1754,241
1755,240
1756,250
1757,241
1758,240
1759,241
1760,240
1761,241
1762,250
1763,241
1764,260
1765,251
1766,250
1767,241
1768,250
1769,251
1770,240
1771,251
1772,250
1773,251
1774,240
1775,241
1776,240
1777,241
1778,250
1779,241
1780,270
1781,241
1782,250
1783,251
1784,250
1785,241
1786,240
1787,281
1788,251
1789,250
1790,251
1791,240
1792,241
1793,240
1794,251
1795,290
1796,240
1797,240
1798,241
1799,250
1800,260
1801,241
1802,250
1803,251
1804,250
1805,241
1806,250
1807,251
1808,240
1809,241
1810,240
1811,251
1812,250
1813,241
1814,240
1815,241
1816,240
1817,251
1818,240
1819,241
1820,250
1821,241
1822,250
1823,241
1824,260
1825,250
1826,251
1827,240
1828,251
1829,240
1830,241
1831,240
1832,241
1833,240
1834,241
1835,240
1836,251
1837,240
1838,241
1839,250
1840,261
1841,240
1842,251
1843,230
1844,241
1845,250
1846,241
1847,240
1848,241
1849,240
1850,251
1851,240
1852,251
1853,240
1854,241
1855,230
1856,261
1857,240
1858,241
1859,240
1860,231
1861,240
1862,241
1863,240
1864,241
1865,240
1866,241
1867,250
1868,231
1869,240
1870,241
1871,240
1872,251
1873,240
1874,241
1875,240
1876,251
1877,250
1878,241
1879,250
1880,241
1881,240
1882,241
1883,240
1884,241
1885,240
1886,251
1887,240
1888,241
1889,240
1890,241
1891,240
1892,241
1893,240
1894,241
1895,240
1896,250
1897,241
1898,240
1899,241
1900,240
1901,241
1902,250
1903,240
1904,240
1905,240
1906,241
1907,240
1908,241
1909,230
1910,241
1911,240
1912,241
1913,240
1914,241
1915,250
1916,231
1917,240
1918,241
1919,240
1920,251
1921,250
1922,241
1923,240
1924,241
1925,240
1926,241
1927,250
1928,241
1929,240
1930,241
1931,250
1932,251
1933,240
1934,241
1935,230
1936,241
1937,240
1938,241
1939,240
1940,241
1941,240
1942,241
1943,240
1944,241
1945,240
1946,241
1947,240
1948,251
1949,240
1950,241
1951,250
1952,241
1953,240
1954,241
1955,230
1956,241
1957,240
1958,231
1959,240
1960,231
1961,250
1962,241
1963,240
1964,241
1965,250
1966,241
1967,240
1968,240
1969,240
1970,240
1971,241
1972,240
1973,231
1974,240
1975,241
1976,240
1977,231
1978,230
1979,231
1980,250
1981,251
1982,250
1983,251
1984,240
1985,241
1986,240
1987,241
1988,240
1989,231
1990,240
1991,241
1992,250
1993,241
1994,240
1995,241
1996,240
1997,231
1998,240
1999,231
2000,240
2001,241
2002,240
2003,241
2004,240
2005,240
2006,240
2007,240
2008,231
2009,240
2010,241
2011,250
2012,231
2013,240
2014,241
2015,240
2016,251
2017,251
2018,240
2019,230
2020,240
2021,240
2022,231
2023,230
2024,241
2025,240
2026,241
2027,240
2028,241
2029,240
2030,231
2031,240
2032,241
2033,240
2034,241
2035,240
2036,241
2037,230
2038,231
2039,240
2040,231
2041,240
2042,241
2043,230
2044,241
2045,240
2046,230
2047,240
2048,281
2049,260
2050,261
2051,260
2052,261
2053,240
2054,241
2055,240
2056,251
2057,250
2058,251
2059,240
2060,251
2061,240
2062,241
2063,240
2064,241
2065,240
2066,241
2067,240
2068,241
2069,240
2070,251
2071,250
2072,251
2073,250
2074,251
2075,240
2076,241
2077,240
2078,241
2079,240
2080,241
2081,240
2082,241
2083,240
2084,251
2085,240
2086,251
2087,240
2088,231
2089,240
2090,261
2091,240
2092,241
2093,240
2094,241
2095,240
2096,241
2097,240
2098,241
2099,240
2100,260
2101,241
2102,240
2103,241
2104,240
2105,251
2106,250
2107,241
2108,240
2109,240
2110,240
2111,240
2112,251
2113,240
2114,241
2115,240
2116,241
2117,240
2118,241
2119,240
2120,241
2121,250
2122,241
2123,240
2124,241
2125,240
2126,241
2127,240
2128,241
2129,240
2130,241
2131,240
2132,241
2133,240
2134,241
2135,240
2136,251
2137,240
2138,251
2139,240
2140,251
2141,240
2142,241
2143,250
2144,241
2145,240
2146,251
2147,240
2148,261
2149,240
2150,231
2151,240
2152,251
2153,240
2154,241
2155,240
2156,241
2157,240
2158,251
2159,240
2160,241
2161,250
2162,241
2163,240
2164,241
2165,240
2166,241
2167,250
2168,251
2169,240
2170,241
2171,240
2172,241
2173,240
2174,251
2175,240
2176,241
2177,240
2178,241
2179,230
2180,241
2181,250
2182,251
2183,240
2184,241
2185,240
2186,241
2187,240
2188,241
2189,240
2190,251
2191,240
2192,241
2193,240
2194,241
2195,240
2196,241
2197,240
2198,251
2199,250
2200,241
2201,240
2202,241
2203,240
2204,261
2205,240
2206,241
2207,240
2208,241
2209,240
2210,241
2211,240
2212,241
2213,240
2214,241
2215,240
2216,241
2217,240
2218,241
2219,240
2220,241
2221,240
2222,241
2223,240
2224,240
2225,240
2226,230
2227,231
2228,240
2229,241
2230,240
2231,241
2232,240
2233,241
2234,240
2235,241
2236,230
2237,241
2238,250
2239,241
2240,240
2241,251
2242,240
2243,241
2244,250
2245,251
2246,250
2247,251
2248,240
2249,241
2250,250
2251,241
2252,240
2253,241
2254,240
2255,251
2256,250
2257,241
2258,240
2259,241
2260,240
2261,241
2262,230
2263,241
2264,240
2265,251
2266,250
2267,251
2268,250
2269,251
2270,240
2271,251
2272,240
2273,241
2274,240
2275,241
2276,240
2277,251
2278,240
2279,241
2280,240
2281,251
2282,240
2283,241
2284,240
2285,251
2286,250
2287,241
2288,240
2289,241
2290,240
2291,241
2292,240
2293,241
2294,240
2295,241
2296,240
2297,241
2298,250
2299,241
2300,240
2301,281
2302,260
2303,251
2304,260
2305,250
2306,241
2307,240
2308,240
2309,240
2310,240
2311,231
2312,240
2313,241
2314,240
2315,241
2316,240
2317,231
2318,240
2319,241
2320,240
2321,241
2322,250
2323,241
2324,240
2325,241
2326,230
2327,241
2328,240
2329,231
2330,240
2331,241
2332,240
2333,240
2334,241
2335,240
2336,241
2337,240
2338,241
2339,240
2340,261
2341,240
2342,251
2343,250
2344,241
2345,240
2346,241
2347,240
2348,231
2349,240
2350,241
2351,240
2352,241
2353,240
2354,241
2355,240
2356,241
2357,240
2358,231
2359,240
2360,231
2361,240
2362,231
2363,230
2364,240
2365,230
2366,250
2367,241
2368,240
2369,241
2370,240
2371,241
2372,230
2373,251
2374,240
2375,241
2376,240
2377,231
2378,230
2379,241
2380,240
2381,241
2382,240
2383,241
2384,230
2385,241
2386,240
2387,241
2388,230
2389,240
2390,241
2391,240
2392,241
2393,250
2394,241
2395,240
2396,241
2397,240
2398,241
2399,240
2400,231
2401,250
2402,241
2403,230
2404,241
2405,230
2406,241
2407,240
2408,241
2409,230
2410,241
2411,240
2412,241
2413,240
2414,240
2415,241
2416,240
2417,241
2418,240
2419,241
2420,250
2421,240
2422,240
2423,240
2424,240
2425,240
2426,241
2427,250
2428,251
2429,240
2430,241
2431,240
2432,251
2433,240
2434,241
2435,240
2436,241
2437,240
2438,241
2439,240
2440,251
2441,250
2442,251
2443,240
2444,241
2445,250
2446,241
2447,240
2448,241
2449,240
2450,241
2451,240
2452,240
2453,250
2454,240
2455,240
2456,240
2457,251
2458,240
2459,251
2460,240
2461,251
2462,240
2463,231
2464,250
2465,231
2466,240
2467,231
2468,240
2469,231
2470,260
2471,241
2472,240
2473,231
2474,240
2475,251
2476,240
2477,241
2478,230
2479,241
2480,240
2481,241
2482,240
2483,241
2484,240
2485,241
2486,230
2487,251
2488,230
2489,241
2490,230
2491,240
2492,231
2493,240
2494,241
2495,230
2496,231
2497,230
2498,231
2499,230
2500,241
2501,240
2502,241
2503,240
2504,241
2505,240
2506,241
2507,240
2508,251
2509,240
2510,241
2511,240
2512,231
2513,240
2514,241
2515,240
2516,241
2517,240
2518,231
2519,230
2520,240
2521,230
2522,240
2523,451
2524,360
2525,361
2526,351
2527,361
2528,361
2529,390
2530,310
2531,330
2532,340
2533,360
2534,320
2535,351
2536,371
2537,381
2538,251
2539,250
2540,251
2541,240
2542,241
2543,230
2544,241
2545,230
2546,251
2547,240
2548,241
2549,240
2550,231
2551,240
2552,241
2553,240
2554,240
2555,270
2556,331
2557,240
2558,231
2559,240
2560,261
2561,251
2562,240
2563,240
2564,240
2565,240
2566,241
2567,391
2568,310
2569,271
2570,240
2571,251
2572,240
2573,241
2574,240
2575,240
2576,251
2577,240
2578,241
2579,230
2580,231
2581,240
2582,241
2583,240
2584,251
2585,240
2586,241
2587,240
2588,241
2589,240
2590,241
